epoch,loss_value
0.07244511,0.07244511
0.056516193,0.056516193
0.05359857,0.05359857
0.051942576,0.051942576
0.050549403,0.050549403
0.04993047,0.04993047
0.049251847,0.049251847
0.04869135,0.04869135
0.048468504,0.048468504
0.048142936,0.048142936
0.04764707,0.04764707
0.047344644,0.047344644
0.04707893,0.04707893
0.046987373,0.046987373
0.04674002,0.04674002
0.04641694,0.04641694
0.046552323,0.046552323
0.04619074,0.04619074
0.046134453,0.046134453
0.045822497,0.045822497
0.04574332,0.04574332
0.04574591,0.04574591
0.045645587,0.045645587
0.045483936,0.045483936
0.045550663,0.045550663
0.045154005,0.045154005
0.045220554,0.045220554
0.045077723,0.045077723
0.045017634,0.045017634
0.044844825,0.044844825
0.044655558,0.044655558
0.044773135,0.044773135
0.044767465,0.044767465
0.044560984,0.044560984
0.04442675,0.04442675
0.04435702,0.04435702
0.0444319,0.0444319
0.044190045,0.044190045
0.04412333,0.04412333
0.044143572,0.044143572
0.04398091,0.04398091
0.044031776,0.044031776
0.044054568,0.044054568
0.043773904,0.043773904
0.04386261,0.04386261
0.043804154,0.043804154
0.04369737,0.04369737
0.043579902,0.043579902
0.043453082,0.043453082
0.04346581,0.04346581
0.043313816,0.043313816
0.043338645,0.043338645
0.043122612,0.043122612
0.043025393,0.043025393
0.042817373,0.042817373
0.04238525,0.04238525
0.041596517,0.041596517
0.04120293,0.04120293
0.040806178,0.040806178
0.04061843,0.04061843
0.040324524,0.040324524
0.0400914,0.0400914
0.03992431,0.03992431
0.039696563,0.039696563
0.039607648,0.039607648
0.039569315,0.039569315
0.03936598,0.03936598
0.039230797,0.039230797
0.038974214,0.038974214
0.039058503,0.039058503
0.039098587,0.039098587
0.038871758,0.038871758
0.038708046,0.038708046
0.038842913,0.038842913
0.038612098,0.038612098
0.038570434,0.038570434
0.038460873,0.038460873
0.038360193,0.038360193
0.038155515,0.038155515
0.03830812,0.03830812
0.038208403,0.038208403
0.038356047,0.038356047
0.03821844,0.03821844
0.038119808,0.038119808
0.038067997,0.038067997
0.037969064,0.037969064
0.038062006,0.038062006
0.03788991,0.03788991
0.03796437,0.03796437
0.037767593,0.037767593
0.037845843,0.037845843
0.03773621,0.03773621
0.03773194,0.03773194
0.03772449,0.03772449
0.037640616,0.037640616
0.037684616,0.037684616
0.03751899,0.03751899
0.037528895,0.037528895
0.037536327,0.037536327
0.037536327,0.037536327
0.03756745,0.03756745
0.037368026,0.037368026
0.037339456,0.037339456
0.037412282,0.037412282
0.03732453,0.03732453
0.03731833,0.03731833
0.0372757,0.0372757
0.037309736,0.037309736
0.03732228,0.03732228
0.03708264,0.03708264
0.03719755,0.03719755
0.03727483,0.03727483
0.03710858,0.03710858
0.037118975,0.037118975
0.037140805,0.037140805
0.03713243,0.03713243
0.037161414,0.037161414
0.037056144,0.037056144
0.03706484,0.03706484
0.037053794,0.037053794
0.036999844,0.036999844
0.036928248,0.036928248
